Année,Examen,Code,DREN/DDEN,Catégorie,Genre ,Effectif
2016,CEPE,49,BOUAKE  2,Admis,Fille,5247
2016,CEPE,24,BOUNA,Admis,Fille,886
2016,CEPE,27,BOUNDIALI,Admis,Fille,2163
2016,CEPE,33,DABOU,Admis,Fille,3505
2016,CEPE,15,DALOA,Admis,Fille,8125
2016,CEPE,47,DANANE,Admis,Fille,1557
2016,CEPE,45,DAOUKRO,Admis,Fille,2522
2016,CEPE,30,DIMBOKRO,Admis,Fille,2138
2016,CEPE,23,DIVO,Admis,Fille,5691
2016,CEPE,53,DUEKOUE,Admis,Fille,4485
2016,CEPE,48,FERKESSEDOUGOU,Admis,Fille,2298
2016,CEPE,26,GAGNOA,Admis,Fille,5184
2016,CEPE,51,GRAND-BASSAM,Admis,Fille,2332
2016,CEPE,28,GUIGLO,Admis,Fille,2413
2016,CEPE,52,ISSIA,Admis,Fille,2717
2016,CEPE,25,KATIOLA,Admis,Fille,2548
2016,CEPE,16,KORHOGO,Admis,Fille,4455
2016,CEPE,17,MAN,Admis,Fille,3171
2016,CEPE,54,MANKONO,Admis,Fille,1718
2016,CEPE,56,MINIGNAN,Admis,Fille,248
2016,CEPE,18,ODIENNE,Admis,Fille,1188
2016,CEPE,19,SAN-PEDRO,Admis,Fille,5418
2016,CEPE,55,SASSANDRA,Admis,Fille,2088
2016,CEPE,29,SEGUELA,Admis,Fille,1196
2016,CEPE,46,SINFRA,Admis,Fille,1733
2016,CEPE,43,SOUBRE,Admis,Fille,5510
2016,CEPE,42,TIASSALE,Admis,Fille,2910
2016,CEPE,35,TOUBA,Admis,Fille,762
2016,CEPE,20,YAMOUSSOUKRO,Admis,Fille,5780
2016,CEPE,11,ABENGOUROU,Admis,Garçon,4138
2016,CEPE,12,ABIDJAN  1,Admis,Garçon,7076
2016,CEPE,31,ABIDJAN  2,Admis,Garçon,9830
2016,CEPE,40,ABIDJAN  3,Admis,Garçon,13190
2016,CEPE,41,ABIDJAN  4,Admis,Garçon,12445
2016,CEPE,21,ABOISSO,Admis,Garçon,4152
2016,CEPE,32,ADZOPE,Admis,Garçon,5091
2016,CEPE,22,AGBOVILLE,Admis,Garçon,3399
2016,CEPE,13,BONDOUKOU,Admis,Garçon,5675
2016,CEPE,50,BONGOUANOU,Admis,Garçon,3755
2016,CEPE,34,BOUAFLE,Admis,Garçon,6073
2016,CEPE,14,BOUAKE  1,Admis,Garçon,2581
2016,CEPE,49,BOUAKE  2,Admis,Garçon,6698
2016,CEPE,24,BOUNA,Admis,Garçon,1144
2016,CEPE,27,BOUNDIALI,Admis,Garçon,2379
2016,CEPE,33,DABOU,Admis,Garçon,4043
2016,CEPE,15,DALOA,Admis,Garçon,10909
2016,CEPE,47,DANANE,Admis,Garçon,2848
2016,CEPE,45,DAOUKRO,Admis,Garçon,3445
2016,CEPE,30,DIMBOKRO,Admis,Garçon,2864
2016,CEPE,23,DIVO,Admis,Garçon,7835
2016,CEPE,53,DUEKOUE,Admis,Garçon,6983
2016,CEPE,48,FERKESSEDOUGOU,Admis,Garçon,2576
2016,CEPE,26,GAGNOA,Admis,Garçon,7184
2016,CEPE,51,GRAND-BASSAM,Admis,Garçon,2030
2016,CEPE,28,GUIGLO,Admis,Garçon,3201
2016,CEPE,52,ISSIA,Admis,Garçon,3861
2016,CEPE,25,KATIOLA,Admis,Garçon,3495
2016,CEPE,16,KORHOGO,Admis,Garçon,5405
2016,CEPE,17,MAN,Admis,Garçon,4560
2016,CEPE,54,MANKONO,Admis,Garçon,2498
2016,CEPE,56,MINIGNAN,Admis,Garçon,493
2016,CEPE,18,ODIENNE,Admis,Garçon,1730
2016,CEPE,19,SAN-PEDRO,Admis,Garçon,7012
2016,CEPE,55,SASSANDRA,Admis,Garçon,3114
2016,CEPE,29,SEGUELA,Admis,Garçon,2027
2016,CEPE,46,SINFRA,Admis,Garçon,2432
2016,CEPE,43,SOUBRE,Admis,Garçon,7981
2016,CEPE,42,TIASSALE,Admis,Garçon,3636
2016,CEPE,35,TOUBA,Admis,Garçon,1266
2016,CEPE,20,YAMOUSSOUKRO,Admis,Garçon,6665
2016,BEPC,,ABENGOUROU,Inscrits,Fille,3451
2016,BEPC,,ABIDJAN 1,Inscrits,Fille,7731
2016,BEPC,,ABIDJAN 2,Inscrits,Fille,9879
2016,BEPC,,ABIDJAN 3,Inscrits,Fille,16427
2016,BEPC,,ABIDJAN 4,Inscrits,Fille,12872
2016,BEPC,,ABOISSO,Inscrits,Fille,2188
2016,BEPC,,ADZOPE,Inscrits,Fille,3452
2016,BEPC,,AGBOVILLE,Inscrits,Fille,2310
2016,BEPC,,BONDOUKOU,Inscrits,Fille,3426
2016,BEPC,,BONGOUANOU,Inscrits,Fille,2556
2016,BEPC,,BOUAFLE,Inscrits,Fille,2716
2016,BEPC,,BOUAKE  1,Inscrits,Fille,2378
2016,BEPC,,BOUAKE  2,Inscrits,Fille,3844
2016,BEPC,,BOUNA,Inscrits,Fille,594
2016,BEPC,,BOUNDIALI,Inscrits,Fille,924
2016,BEPC,,DABOU,Inscrits,Fille,2549
2016,BEPC,,DALOA,Inscrits,Fille,5881
2016,BEPC,,DANANE,Inscrits,Fille,760
2016,BEPC,,DAOUKRO,Inscrits,Fille,2146
2016,BEPC,,DIMBOKRO,Inscrits,Fille,1494
2016,BEPC,,DIVO,Inscrits,Fille,4967
2016,BEPC,,DUEKOUE,Inscrits,Fille,1976
2016,BEPC,,FERKESSEDOUGOU,Inscrits,Fille,1314
2016,BEPC,,GAGNOA,Inscrits,Fille,4492
2016,BEPC,,GRAND­BASSAM,Inscrits,Fille,2172
2016,BEPC,,GUIGLO,Inscrits,Fille,1377
2016,BEPC,,ISSIA,Inscrits,Fille,1636
2016,BEPC,,KATIOLA,Inscrits,Fille,1095
2016,BEPC,,KORHOGO,Inscrits,Fille,3076
2016,BEPC,,MAN,Inscrits,Fille,1698
2016,BEPC,,MANKONO,Inscrits,Fille,438
2016,BEPC,,MINIGNAN,Inscrits,Fille,24
2016,BEPC,,ODIENNE,Inscrits,Fille,674
2016,BEPC,,SAN­PEDRO,Inscrits,Fille,3347
2016,BEPC,,SASSANDRA,Inscrits,Fille,775
2016,BEPC,,SEGUELA,Inscrits,Fille,609
2016,BEPC,,SINFRA,Inscrits,Fille,1389
2016,BEPC,,SOUBRE,Inscrits,Fille,3845
2016,BEPC,,TIASSALE,Inscrits,Fille,2219
2016,BEPC,,TOUBA,Inscrits,Fille,185
2016,BEPC,,YAMOUSSOUKRO,Inscrits,Fille,4982
2016,BEPC,,ABENGOUROU,Inscrits,Garçon,4732
2016,BEPC,,ABIDJAN 1,Inscrits,Garçon,7044
